product_name,variant_name,slug,sku,price,description,image_urls,category
UGO,UGO C1,ugo-c1,RT1021 C1,42.00,©rietieyewear | UGO C1 – Iconic oval square design with wearable versatility. Blue light blocking for daily use. TR-90 frame.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/f51b2c3896bd544252a0a5a2f1219711.jpg,SHOP
OTTAVIO,OTTAVIO C2,ottavio-c2,RT1024 C2,42.00,©rietieyewear | OTTAVIO C2 combines elegant semi-cat eye design with blue light protection. Enjoy the comfort and style of modern eyewear.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250311/f7013e4bebb55f026757ba30a904bbc3.jpg,SHOP
TITO,TITO C1,tito-c1,RT3039 C1,58.00,"©rietieyewear | Discover TITO C1: Unique, lightweight glasses with blue light blocking lenses and high-elasticity, durable frames.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250402/7b074d65edde95eba3231d07dd9141ac.jpg,SHOP
ENRICO,ENRICO C1,enrico-c1,RT1017 C1,42.00,"©rietieyewear | ENRICO C1 combines classic design with comfort. Block harmful blue light with stylish glasses suited for any outfit. MD's pick, a popular item.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20251022/1fa2cc6157336f31982789f3bd48cf9c.jpg,SHOP
ANNA,ANNA C4,anna-c4,RT1023 C4,42.00,"©rietieyewear | ANNA C4 offering unique aesthetics. Blue light blocking lenses protect eyes, with an elegant minimal design. Lightweight for comfort.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20251231/5f5e6dffafe52bebc02f46e5a4cb6997.jpg,SHOP
BELLO,BELLO C1,bello-c1,RT3040 C1,56.25,"©rietieyewear | BELLO C1: Designed with modern temples, this eyewear features blue light blocking lenses and lightweight B-TITANIUM frame for comfort.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250319/f792a4f5a22a2f13b8e72069ea862e46.jpg,SHOP
BELLO,BELLO C2,bello-c2,RT3040 C2,56.25,"©rietieyewear | BELLO C2 Modern B-TITANIUM frame with blue light blocking lenses, ensuring comfortable wear.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250319/0d713ce06139243af2e169f635c2a528.jpg,SHOP
ALETTA,ALETTA C3,aletta-c3,RT3036 C3,58.00,©rietieyewear | ALETTA C3 combines ultra-light comfort with blue light protection in a stylish design. Perfectly matches classic and clear tones for versatile styling.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/c9a2109e27229f932455675ba093606c.jpg,SHOP
ULBERTO,ULBERTO C2,ulberto-c2,RT1022 C2,42.00,"©rietieyewear | ULBERTO C2 - With a simple, basic design, this eyewear blends fashion and art, featuring blue light blocking lenses and sustainable materials.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250319/afda9805f5ffbd6c2cfd78228916ab03.jpg,SHOP
DIO,DIO C2,dio-c2,RT1011 C2,42.00,©rietieyewear | DIO C2 - Minimal square eyewear with blue light protection. Available in multiple colors for a stylish touch. Lightweight and trendy.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/e72a3e945afb8595259e5b32c29b152d.jpg,SHOP
